expert_id,exper_name,rating,count
23,abhishek ranganathan,100,1,
27,abneesh roy,100,1,
67,amit mahawar,100,1,
311,gokul laroia,100,1,
399,jinesh gandhi,100,1,
545,mihir zaveri,100,1,
672,prasad koparkar,100,1,
781,ruchit jain,100,1,
919,sunil godhwani,100,1,
476,magnum,95.2134527424,238,
365,indira securities,94.6384634126,33,
500,manish prasad,90,2,
587,networth capital,88.3284457478,3,
428,kalyan reddy,87.4236635391,3,
28,achiievers,86.4989231106,5,
211,daryl guppy,85.6888778551,68,
883,shri dharmesh joshi,85.3793995434,1320,
732,ramit bhasin,85.000433188,4,
301,geojit bnp paribas,84.6403261374,21,
203,crisil,84,10,
339,hem securities,83.9777357522,6,
916,sunidhi securities,83.3763834368,231,
932,swastika investmart,83.2228158754,12,
762,rk global,82.9884067272,25,
747,reliance securities,82.6465122207,26,
930,sushil finance,82.3275828552,373,
541,microsec,82.3107721131,78,
161,bharat rawla,82.1900670736,1,
714,rajesh cheruvu,82.1750111425,1,
338,hedge equities,81.9910783191,23,
1011,vk sharma,81.9898840194,922,
447,krchoksey,81.7814555464,1170,
273,fairwealth securities,81.7172240657,53,
44,ajcon global,81.3226138887,15,
210,darryl guppy,81.3194706994,1,
140,asit c. mehta,81.2837982849,140,
191,choice equity broking,81.244815171,4,
262,edelweiss,81.1624725642,187,
440,khambatta securities,81.003195927,12,
278,finquest securities,80.8125303942,209,
628,nvs wealth managers,80.5681818182,1,
1006,vivek kumar,80.5523736795,3,
627,nvs brokerage,80.4777092803,3,
174,bp equities,80.372055945,84,
260,east india securities ltd,80.3086155165,3,
742,ravi muthukrishnan,80.2792577137,2,
894,smc global,80.2333580339,96,
561,motilal oswal,80.2270335357,501,
987,vikram mansharamani,80.0728364516,1,
367,ishaq siddiqi,80.0470465238,1,
917,sunil agarwal,80.0058111973,1,
1009,vivek patil,80.0048285645,3,
3,a rajagopal,80,1,
8,aashish agarwal,80,2,
20,abhishek goenka,80,1,
49,alaistair chan,80,1,
57,amber dubey,80,1,
84,anezka christovova,80,1,
86,angel commodities,80,1,
94,anirudha dutta,80,1,
98,ankur kulshrestha,80,2,
101,anshu jain,80,2,
114,arjun divecha,80,1,
117,arshad zakaria,80,1,
120,arunoday mukherjee,80,1,
122,arvind narayanan,80,1,
143,atul mehra,80,4,
145,austin forey,80,1,
178,brijen puri,80,3,
182,callum henderson,80,1,
189,chirag negandhi,80,1,
197,christoph rubeli,80,1,
207,dani investment services,80,1,
218,deborah fuhr,80,1,
221,deep mukherjee,80,1,
238,dhawal dalal,80,1,
242,dhiren shah,80,1,
264,elan dutta,80,1,
272,ewen cameron watt,80,1,
307,giles keating,80,1,
317,govindarajan chellappa,80,1,
320,greg gibbs,80,1,
370,j kishore kumar,80,1,
394,jignesh kamani,80,1,
407,john davies,80,1,
408,john praveen,80,2,
411,jonathan barratt,80,1,
418,jude sannith,80,4,
420,julie dickson,80,1,
444,kishore narne,80,3,
450,krishna kumar,80,1,
453,kumar rachapudi,80,2,
454,kunal bajaj,80,1,
467,lawrence leibowitz,80,1,
473,lyn graham-taylor,80,2,
490,manish agarwal,80,1,
491,manish agarwalla,80,1,
497,manish jain,80,3,
524,martin lueck,80,3,
557,moorad choudhry,80,2,
573,nandkumar surti,80,1,
590,nicholas smithie,80,2,
601,nilesh parikh,80,4,
610,nirav vasa,80,1,
617,nitin bhasin,80,2,
644,paul mackel,80,1,
648,pawan agarwal,80,1,
678,praveen kumar,80,1,
686,priyanka kishore,80,1,
693,r. sukumar,80,1,
719,rajnikant patel,80,1,
727,ralph acampora,80,2,
740,ravi kapoor,80,1,
750,richard harris,80,1,
764,robert aspin,80,1,
768,robert pavlik,80,3,
780,rr venkataraman,80,1,
787,s nagnath,80,1,
819,sandeep raina of edelweiss rcm research,80,1,
834,sanjay puglia,80,1,
837,sanjay shah,80,3,
838,sanjay sharma,80,2,
847,sanjiv sanyal,80,1,
860,savita subramanian,80,2,
873,shashank singh,80,1,
895,sohini dutt,80,2,
921,sunil shankar matkar,80,1,
959,utpal sheth,80,1,
986,vikram dhawan,80,1,
1005,vivek kudva,80,1,
1015,willie williams,80,2,
186,cd equisearch,79.9306097486,29,
688,r k global,79.7108563836,109,
468,lkp,79.4095382967,52,
579,navin shetty,78.4940436693,13,
78,anandrathi,78.2906952672,103,
501,manish shah,77.4467787115,7,
337,hdfc securities,77.4193548387,31,
852,santosh nair,77.1428571429,7,
164,bhavin desai,77.0988887277,88,
647,pavni mittal,76.6693671798,6,
377,jamal mecklai,76.1538461538,26,
1010,vivek rajpal,76,15,
449,krish subramanyam,75.6120260699,138,
505,manish wadhwan,75.5565600633,9,
657,porinju veliyath,75.5555555556,9,
533,mehta equities,75.4347394166,29,
173,bonanza,75.4246270818,3,
596,nigel d souza,75.2652213328,240,
159,bharat gianani,75.152284264,2,
281,fortune financial services,75.0363238596,7,
261,eastern financiers,75.0032422962,18,
36,agam gupta,75,4,
61,amit chandra,75,4,
240,dhiraj sachdev,75,4,
303,george soros,75,4,
534,mehul thanawala,75,8,
896,sonal varma,75,4,
448,krish subramanium,74.6826984316,170,
496,manish hemrajani,74.2857142857,7,
863,sebastien galy,74.2857142857,7,
443,kirti doshi,74.1603514552,20,
820,sandeep shah,74.1536928757,41,
304,gepl capital,74.1415243004,148,
769,robert prior-wandesforde,74,20,
745,reema tendulkar,73.9548543307,147,
292,gaurav mehta,73.7253924292,18,
33,aditya narain,73.5919368007,53,
19,abhishek anand,73.5660591082,3,
824,sandeepa arora,73.3867663927,9,
349,hitendra dave,73.3454406331,6,
108,anup maheshwari,73.3333333333,9,
151,b krishnakumar,73.3333333333,15,
217,dayanand mittal,73.3333333333,3,
508,manoj garg,73.3333333333,3,
734,ramraj pai,73.3333333333,3,
778,rohit sah,73.3333333333,3,
795,sachin gupta,73.3333333333,3,
798,sagarika mukherjee,73.3333333333,3,
942,tarun surana,73.3333333333,3,
981,vikas gupta,73.3333333333,3,
1007,vivek mavani,73.3333333333,3,
558,moses harding,73.3179155799,47,
788,s naren,73.2518745609,34,
204,crisil ratings,73.1428571429,35,
635,pankaj vaish,72.8571428571,14,
205,crisil research,72.8128288867,1190,
403,jk jain,72.7438863477,104,
214,david lennox,72.7272727273,11,
892,sindhu bhattacharya,72.7272727273,11,
492,manish chokhani,72.5,8,
332,harsha upadhyaya,72.3076923077,13,
462,lalit thakkar,72.0001512355,25,
11,abby joseph cohen,72,10,
783,rumit dugar,72,5,
603,nimesh shah,71.9433684567,344,
1012,vs fernando,71.9191919192,99,
973,vibhav kapoor,71.4314071643,242,
286,garry evans,71.4285714286,7,
47,akash prakash,71.1111111111,18,
763,rob aspin,71.1111111111,9,
466,laurence balanco,71.0854911048,163,
958,ushang sheth,71.0674180822,47,
348,hiren ved,71.0382878652,23,
840,sanjay sinha,70.970924261,46,
310,girish pai,70.7842658511,52,
309,girish nadkarni,70.7749175267,13,
868,shankar sharma,70.7724126959,13,
389,jayesh mehta,70.7613843352,15,
967,varinder bansal,70.7318876023,129,
135,ashok wadhwa,70.6666666667,15,
342,hemant thukral,70.6605057042,638,
89,anil manghnani,70.6019570043,1092,
109,appaji reddem,70.5882352941,17,
754,rikesh parikh,70.3236789457,27,
361,imran zaheer ahmad,70.3148148148,2,
295,gautam broker,70.2391365786,264,
53,alroy lobo,70.140562249,4,
805,salil sharma,70.1299870633,224,
776,rohit dokania,70.0398406375,2,
471,louise yamada,70.0385443827,4,
144,atul suri,70.0307796651,30,
358,icra,70.0185392472,118,
588,niall macleod,70.00713527,10,
633,pankaj pandey,70.0008793317,10,
80,andrew economos,70,10,
91,animesh das,70,2,
110,apurva shah,70,4,
170,binay chandgothia,70,2,
179,bruno verstraete,70,6,
201,claudio piron,70,4,
235,dharmesh dalal,70,10,
246,digant haria,70,2,
388,jayesh gandhi,70,2,
413,jonathan schiessel,70,6,
421,justin harper,70,18,
470,louise cooper,70,4,
535,menaka doshi,70,12,
542,mihir doshi,70,2,
544,mihir vora,70,2,
546,misal singh,70,4,
550,mitul kotecha,70,2,
576,naveen mathur,70,4,
599,nikhil vora,70,4,
606,niraj dalal,70,10,
698,raghunandhan nl,70,2,
700,rahul bhasin,70,4,
774,rohit arora,70,4,
777,rohit kothari,70,2,
789,s ramesh,70,10,
809,sameer goel,70,10,
825,sandesh kirkire,70,2,
874,shashi bhushan,70,4,
907,sudin apte,70,2,
934,swati kulkarni,70,2,
936,t gnanasekar,70,2,
964,vallabh bhansali,70,4,
965,vallabh bhanshali,70,2,
966,varatharajan sivasankaran,70,2,
980,vikas dandekar,70,2,
988,vikram sahu,70,2,
991,vinay joseph,70,2,
993,vinay pandit,70,4,
753,ridham desai,69.9699394014,203,
954,tushar mahajan,69.9641512667,35,
71,amit trivedi,69.8696067484,165,
802,sajeet manghat,69.7595176164,166,
66,amit khurana,69.7142857143,35,
115,arjuna mahendran,69.6301373985,27,
160,bharat iyer,69.5744680851,94,
520,mark mobius,69.5238095238,21,
141,atul badkar,69.4857677972,97,
184,care equity research,69.4120072529,34,
736,rashesh shah,69.4117647059,51,
422,jyotivardhan jaipuria,69.3170301916,73,
126,ashish chugh,69.2475914695,162,
185,care ratings,69.2415112947,52,
1013,way2wealth,69.1953779681,233,
435,karun mutha,69.1666666667,24,
102,anshu sharma,69.1568646537,94,
933,swathi narayanan,69.134472821,22,
63,amit gupta,69.1095995054,545,
350,hitendra vasudeo,69.0909090909,11,
876,shaun rein,69.0909090909,11,
105,anu jain,69.0410703245,511,
1018,yogesh radke,68.9441231551,23,
560,moshe khatri,68.8888888889,9,
952,ts anantakrishnan,68.8888888889,9,
816,sandeep j. shah,68.8056193435,5,
705,rahul shah,68.7970142266,228,
680,prerna baruah,68.7187816033,39,
642,patrick legland,68.6486486486,37,
139,ashwin patil,68.5758407384,7,
52,alok sama,68.5715891432,14,
113,arindam ghosh,68.5714285714,7,
551,mohamed el-erian,68.5714285714,7,
646,paul schatz,68.5714285714,7,
833,sanjay mathur,68.5714285714,7,
730,ramesh damani,68.4974304089,78,
297,gautam shah,68.4648398195,110,
187,chandan taparia,68.400412541,583,
658,prabhat awasthi,68.3962848922,81,
510,manoj menon,68.3874697782,12,
818,sandeep raina,68.3333333333,12,
483,malvika jain,68.2963286191,105,
889,siddharth zarabi,68.2891600773,87,
716,rajesh jain,68.2267573696,5,
329,hardik ruparel,68.1836907791,7,
704,rahul mohindar,68.1511415644,910,
24,abhishek sharma,68,5,
79,andre de silva,68,5,
202,clive mcdonnell,68,5,
323,guy stear,68,5,
645,paul parambi,68,5,
649,payaswini upadhyay,68,5,
701,rahul chadha,68,20,
728,ramakrishna maruvada,68,5,
786,ryan detrick,68,10,
878,shirish rane,68,5,
990,viktor shvets,68,10,
166,bhuvnesh singh,67.8950612778,28,
290,gaurav bissa,67.7938161687,395,
826,sandip agarwal,67.6923076923,13,
897,sonia shenoy,67.6640420531,157,
756,rishi kohli,67.6503818864,29,
656,poornima murali,67.6470588235,34,
957,ur bhat,67.6264599538,117,
451,krishna kumar karwa,67.5888621149,39,
14,abhijit paul,67.5871256486,140,
955,udayan mukherjee,67.5820916959,3721,
390,jeff chowdhry,67.5001080692,64,
629,olivier desbarres,67.5,8,
691,r sukumar,67.5,8,
968,varun goel,67.5,32,
953,ts harihar,67.4306079659,105,
212,david buick,67.3704850361,38,
158,bhanu baweja,67.2727272727,22,
375,jaideep goswami,67.2727272727,11,
712,rajat rajgarhia,67.2132296712,48,
68,amit rathi,67.1815726974,14,
314,gopika gopukumar,67.1662531017,31,
10,aastha maheshwari,67.0726454743,99,
854,sapna das,66.8965517241,29,
844,sanjeev prasad,66.8578428573,197,
569,n jayakumar,66.8140210593,39,
699,rahul arora,66.8114627789,77,
585,neeraj gambhir,66.8085106383,9,
69,amit rustagi,66.7050024649,24,
985,vikash mantri,66.680464248,18,
723,rakesh jhunjhunwala,66.6682636826,27,
73,amol rao,66.6671486378,18,
761,rituparna bhuyan,66.6670332725,33,
176,brad durham,66.6668745505,6,
22,abhishek kothari,66.6666666667,3,
37,ajay argal,66.6666666667,6,
72,amnish aggarwal,66.6666666667,3,
90,anil singhvi,66.6666666667,3,
119,arun baid,66.6666666667,6,
354,hugh young,66.6666666667,3,
383,jason hughes,66.6666666667,12,
461,lalit nambiar,66.6666666667,3,
482,malcolm wood,66.6666666667,6,
537,michael gavin,66.6666666667,3,
564,mudar patherya,66.6666666667,30,
581,navneet munot,66.6666666667,3,
586,neeraj monga,66.6666666667,3,
591,nick parson,66.6666666667,9,
661,pradeep khanna,66.6666666667,3,
676,pratish krishnan,66.6666666667,3,
767,robert parker,66.6666666667,54,
927,surjit arora,66.6666666667,6,
949,tobias levkovich,66.6666666667,3,
1008,vivek misra,66.6666666667,6,
969,varun lohchab,66.5306122449,49,
455,kunal bothra,66.507541079,1169,
248,dilip bhat,66.5009926845,402,
935,systematix group,66.4037587034,38,
523,martin hennecke,66.4,50,
559,moshe katri,66.3636363636,22,
751,richard ross,66.3333333333,60,
640,pashupati advani,66.3157894737,19,
779,ronojoy banerjee,66.2855462875,137,
165,bhavin shah,66.243750941,82,
856,satish gupta,66.2141049645,1404,
823,sandeep singhal,66.2070851467,29,
983,vikas khemani,66.1653860754,104,
382,jan lambregts,66.1541966095,13,
175,bp singh,66.1538461538,13,
592,nick parsons,66.1538461538,104,
900,sridhar sivaram,66.1538461538,13,
60,amisha vora,66.1113374368,126,
515,marc faber,66.0869565217,23,
859,saurabh mukherjea,66.0508830351,159,
839,sanjay singh,66.0486860857,20,
12,abhay laijawala,66.0447308763,53,
5,aakansha sethi,66.0240963855,83,
960,v jayasankar,66.0015970706,10,
918,sunil garg,66,20,
972,vetri subramaniam,66,10,
1017,yogesh mehta,65.9790516157,136,
464,latha venkatesh,65.9304319625,54,
574,nasrin sultana,65.9259259259,27,
45,ak prabhakar,65.8705739228,51,
56,ambareesh baliga,65.8043892414,884,
634,pankaj sharma,65.7153159554,7,
692,r venkataraman,65.7145824539,7,
324,gv giri,65.7142857143,7,
554,mohit gaba,65.7129736468,500,
275,farah bookwala,65.641025641,39,
804,sakthi siva,65.6140350877,57,
898,sp tulsian,65.5648489392,4789,
765,robert doll,65.5172413793,29,
452,kritika saxena,65.5043105987,458,
54,amar ambani,65.4569693922,44,
663,pragya bhardwaj,65.4441039783,81,
82,andrew holland,65.4205983407,124,
206,daljeet  kohli,65.3997878338,69,
583,neelkanth mishra,65.3571428571,56,
107,anup bagchi,65.3340171886,30,
306,gerard minack,65.3333333333,15,
335,hatim broachwala,65.3311177758,4,
276,farah bookwala vhora,65.2631578947,19,
755,rishav dev,65.2631578947,19,
720,rakesh arora,65.2461815833,115,
886,siddharth bhamre,65.1922491788,903,
536,michael every,65.1857419537,27,
374,jai bala,65.1708635346,355,
582,nayantara rai,65.1319298184,289,
944,tim condon,65.0898450379,36,
410,john-paul smith,65.069052103,12,
682,prithvi haldea,65.0003180095,24,
87,anil agarwal,65,4,
247,dilip bang,65,4,
352,hitesh mahida,65,4,
356,ian hui,65,12,
406,john bollinger,65,4,
498,manish kumar,65,4,
529,mb mahesh,65,12,
538,michael hartnett,65,4,
563,mubina kapasi,65,8,
572,nandita parker,65,4,
589,nicholas ferres,65,16,
708,raj bhatt,65,4,
752,richard titherington,65,12,
821,sandeep shenoy,65,80,
924,surajit pal,65,24,
38,ajay bagga,64.9437504984,86,
133,ashmit kumar,64.9383391892,158,
300,geoff lewis,64.8524044791,33,
364,india ratings,64.8284845133,25,
746,regan f homavazir,64.8281335659,60,
402,jitendra sriram,64.8277424119,58,
412,jonathan garner,64.8168910613,54,
543,mihir jhaveri,64.7850423914,30,
313,gopika gopakumar,64.7619047619,21,
124,ashish chaturmohta,64.7476285286,355,
485,manasvi ghelani,64.7414449215,38,
506,manishi raychaudhuri,64.7305936333,61,
622,nitin raheja,64.6914849011,81,
760,ritu singh,64.6879239214,47,
685,priyanka ghosh,64.6816115813,124,
213,david kelly,64.6153846154,13,
650,peter elston,64.6153846154,13,
651,peter redward,64.6153846154,13,
857,satish ramanathan,64.6153846154,13,
241,dhiren sarin,64.6077391058,19,
263,ekta batra,64.5825615974,194,
21,abhishek karande,64.5764410008,24,
915,sunanda jayaseelan,64.555887259,101,
333,harshavardhan dole,64.552073441,27,
738,ratnesh kumar,64.5454545455,22,
580,navneet daga,64.5151179154,52,
255,dipesh mehta,64.5150881776,28,
284,gagan dixit,64.4862509568,18,
65,amit kasat,64.4444444444,9,
183,cameron brandt,64.4444444444,9,
694,raamdeo agrawal,64.3974859241,141,
681,pritesh mehta,64.3437821348,513,
39,ajay bodke,64.2873093117,180,
806,sam mahtani,64.2857142857,14,
828,sangeeta purushottam,64.2857142857,42,
479,mahesh nandurkar,64.2631356241,61,
997,vishal b malkan,64.2423614728,268,
200,ck narayan,64.1800749035,117,
931,sushil kedia,64.178486033,29,
