comment_id	expert_id	date	comment	company	sentiment
4000	806	2009-10-20	F&C; Investments' sector/stock picks for the next 18 months	SEINV	hold
4001	955	2009-10-20	Don't see major sell-off this earning season	TTL	sell
4002	955	2009-10-20	NTPC's FPO news positive for government	NTPC	buy
4003	802	2009-10-20	Govt to divest 5% stake in NTPC; likely to raise Rs 9000cr	NTPC	hold
4004	995	2009-10-17	Diwali bonanza	DALMIASUG	hold
4005	955	2009-10-16	Nifty rides into Diwali at 17-month high	NIFTY	buy
4006	745	2009-10-16	IPO woes	INDLMETER	hold
4007	789	2009-10-16	Expect FCCBs from larger cos	CMAHENDRA	hold
4008	295	2009-10-16	How EIH plans to prevent takeover bid from ITC	ITC	hold
4009	955	2009-10-21	Nifty slips in late trade after sideways session	NIFTY	sell
4010	582	2009-10-21	Profits will be hit if gas is sold at $2.34/mmbtu	2	hold
4011	897	2009-10-21	Hero Honda Q2 revenues seen up 28% at Rs 4,062 cr	4	hold
4012	43	2009-10-21	Stay away from telecom space	TNTELE	sell
4013	955	2009-10-21	Mkts to trade flat on weak global cues, lack of triggers	SGL	hold
4014	314	2009-10-21	SBI raises $750m through overseas bond issue	BANG	hold
4015	452	2009-10-21	Mah Satyam ups Upaid out-of-court offer to $40m	SATYAMCOMP	hold
4016	603	2009-10-21	FIIs net buy Rs 276 cr in equities on Oct 20 (prov)	NET4	buy
4017	955	2009-10-20	Largecap metals and IT stocks shine in today's trade	LLOYDMETAL	hold
4018	452	2009-10-20	Tech Mahindra Q2 revenues up 2.6% to Rs 1,141.8 cr	TECHM	hold
4019	54	2009-10-20	Ceat can add 20-25%	CEATLTD	hold
4020	802	2009-10-20	Warrant stayed, exiled Nimesh Kampani returns to India	3MINDIA	hold
4021	955	2009-10-23	Global cues to help Nifty to cross 5,000	NIFTY	hold
4022	295	2009-10-23	ITC Q2 revenues seen up 8.5% at Rs 4190 cr	ITC	hold
4023	897	2009-10-23	TVS Motors Q2 revenues seen up 8% at Rs 1,098 cr	1	hold
4024	263	2009-10-23	Zee Entertainment Q2 revenues seen down 7.7% to Rs 527 cr	ZEEMEDIA	sell
4025	955	2009-10-22	Weak global cues weighing down on mkts	SGL	sell
4026	671	2009-10-22	Should you sell Sesa Goa post dismal Q2 results?	GOACARBON	sell
4027	452	2009-10-22	NYSE warns Mahindra Satyam over report delays	MAHINDCIE	hold
4028	814	2009-10-22	See mkt at 19K by Dec-end, bullish on ITC, HUL	ITC	buy
4029	814	2009-10-22	Sandeep Bhatia positive on JP Associates	JPASSOCIAT	buy
4030	955	2009-10-22	Nifty to trade in 5,000-5,050 range	NIFTY	hold
4031	944	2009-10-22	Expect RBI to hold rates in policy meet	VHL	hold
4032	295	2009-10-22	JP Associates Q2 net sales up 54% at Rs 1,824.3 cr	1	hold
4033	897	2009-10-27	Tata Motors Q2 net sales up 17.27% at Rs 7,924 cr	TATAMOTORS	hold
4034	955	2009-10-26	Weak start for mkts, Sensex ends 70 points down	UTISENSETF	sell
4035	582	2009-10-26	EGoM to consider gas allocation from KG-D6 today	TVTODAY	hold
4036	955	2009-10-26	Mkts see volatile trade; individual stocks react to results	VALUEIND	hold
4037	652	2009-10-26	Buy Punj Lloyd on further correction	PUNJLLOYD	buy
4038	831	2009-10-26	Mkts at the end of trading range	INDTERRAIN	hold
4039	955	2009-10-26	Extended trading may strain system, fatigue people	HBLPOWER	hold
4040	955	2009-10-26	Legacy issues a concern for Punj Lloyd	PUNJLLOYD	hold
4041	897	2009-10-26	Tata Motors Q2 revenues seen up 10% at Rs 7,760 cr	TATAMOTORS	hold
4042	955	2009-10-23	Weak RIL weighs on Nifty	NIFTY	sell
4043	295	2009-10-23	NTPC Q2 revenues seen up 17.3% at Rs 11332 cr	NTPC	hold
4044	953	2009-10-23	Auto stocks may go down	JMTAUTOLTD	sell
4045	696	2009-10-28	Sell RIL for intraday	ROSSELLIND	sell
4046	955	2009-10-28	Global cues continue to remain negative	SGL	sell
4047	944	2009-10-28	Markets could be higher by year-end	PENPEBS	buy
4048	603	2009-10-28	FIIs net sell Rs 548 cr in equities on Oct 27 (prov)	NET4	sell
4049	955	2009-10-27	Mkts witness biggest single-day fall since Aug 17	NITESHEST	sell
4050	582	2009-10-27	Gas block to go bust if gas is supplied at $2.3/mmbtu	3	hold
4051	955	2009-10-27	Downward momentum can take Nifty below 4800	TAKE	sell
4052	886	2009-10-27	Enter in HPCL at Rs 342-340	AUSOMENT	buy
4053	886	2009-10-27	Punj Lloyd may test Rs 200	PUNJLLOYD	buy
4054	886	2009-10-27	Buy PNB at Rs 840-842	PNB	buy
4055	955	2009-10-27	Negative global cues may peg back mkt	SGL	sell
4056	897	2009-10-27	Jet Airways Q2 revenues seen down 21% at 2,429 cr	JETAIRWAYS	sell
4057	696	2009-10-29	Sell SBI for intraday	ROSSELLIND	sell
4058	40	2009-10-29	Sell Cairn India for target of Rs 269	CAIRN	sell
4059	753	2009-10-29	Dec-2010 target for Sensex at 19,400	UTISENSETF	hold
4060	955	2009-10-28	Mkts end marginally up as expiry jitters grip traders	STOREONE	hold
4061	582	2009-10-28	RIL Counsel argues against Bombay HC judgement	BRFL	hold
4062	973	2009-10-28	Start all-out buying at 4500 levels	OUDHSUG	buy
4063	973	2009-10-28	Sugar stocks may add another 5-10%	5	hold
4064	973	2009-10-28	Buy telecom stocks for trading	TNTELE	buy
4065	973	2009-10-28	Accumulate Punj Lloyd on dips	PUNJLLOYD	buy
4066	973	2009-10-28	Look at Tata Steel on 5-10% decline	TATASTEEL	sell
4067	973	2009-10-28	Vibhav Kapoor positive on banking stocks	SETFNIFBK	buy
4068	40	2009-10-28	4800 on Nifty an important level for trend	NIFTY	buy
4069	696	2009-10-30	Buy Rolta for intraday	ROLTA	buy
4070	40	2009-10-30	Buy Mahindra Satyam	MAHINDCIE	buy
4071	898	2009-10-29	Experts foresee Rs 110 as FY10 EPS for RIL	1	hold
4072	955	2009-10-29	Mkts close Oct series in the red, down 4th straight session	ZENITHCOMP	sell
4073	582	2009-10-29	Isn't selling gas cheaper in national interest? SC asks RIL	TTL	sell
4074	898	2009-10-29	RIL's full year EPS target to be scaled down	473S&P500	sell
4075	704	2009-10-29	Unitech may slip to Rs 73	UNITECH	sell
4076	452	2009-10-29	Why is Big IT not hiring despite strong Q2 nos?	STERTOOLS	buy
4077	263	2009-10-29	Zee Ent, News restructuring	RMMIL	hold
4078	957	2009-10-29	Global bull run to halt due to policy tightening	SGL	sell
4079	310	2009-10-29	Positive on mkts in medium-term	RESPONIND	buy
4080	955	2009-10-29	Correction intensifying; Nifty may breach 4800	NIFTY	hold
4081	955	2009-11-03	Big mkt upsides look difficult ahead	AIMCOPEST	sell
4082	696	2009-11-03	Sell ICICI Bank for intraday	ICICIBANK	sell
4083	40	2009-11-03	Titan looks positive	TITAN	buy
4084	466	2009-11-03	Nifty has critical support at 4,700	NIFTY	buy
4085	802	2009-10-31	Essar Energy may buy 3 Shell refineries	3	buy
4086	582	2009-10-31	DLF to enter value housing market	DLF	buy
4087	889	2009-10-30	Bharti joins 1-paisa-per-sec tariff war	1	hold
4088	955	2009-10-30	Balrampur Chini to surge if Bajaj Hindusthan buys its stake	BALRAMCHIN	buy
4089	955	2009-10-30	Indiabulls Power lists at Rs 45, loses 16% in early trade	INDIABULLS	sell
4090	955	2009-10-30	Mkts may go up on positive global cues	SGL	buy
4091	955	2009-10-30	Indiabulls Power won't outperform in near term	TTL	buy
4092	452	2009-10-30	General Atlantic may sell its stake in Patni	PATNI	sell
4093	211	2009-11-04	Wipro has support at Rs 580	WIPRO	buy
4094	211	2009-11-04	Expect 12-15% correction from recent peaks	CTCOTTON	hold
4095	452	2009-11-04	Midcap IT cos deliver in Q2, cautious on Q3	772CNXMIDCAP	hold
4096	685	2009-11-04	Realty cos clock in good volumes, but Q2 nos disappoint	DBREALTY	sell
4097	955	2009-11-04	See 70-80 points bounce on the Nifty today	NIFTY	hold
4098	696	2009-11-04	Buy Rolta for intraday	ROLTA	buy
4099	82	2009-11-04	Valuations would become reasonable below 16K	MRO	buy
4100	867	2009-11-04	Uptrend should resume in few weeks	TREEHOUSE	hold
4101	40	2009-11-04	Maruti suzuki looks positive - Ajay Jain	MARUTI	buy
4102	603	2009-11-04	FIIs net sell Rs 874 cr in equities on Oct 3 (prov)	3	sell
4103	898	2009-11-03	Q2 review	GIRRESORTS	hold
4104	198	2009-11-03	Easy monetary policy in Asia may create asset bubbles	ASIANELEC	buy
4105	926	2009-11-05	Mahadevan neutral on Reliance Industries	RELIANCE	hold
4106	82	2009-11-05	Invest only if Sensex dips below 15,000	PILANIINVS	buy
4107	953	2009-11-05	Sell metal stocks on rise	CNXMETAL	sell
4108	926	2009-11-05	UBS Sec bullish on auto, telecom; cautious on IT	TNTELE	buy
4109	955	2009-11-05	Nifty may volatile on back of mixed global cues	NIFTY	hold
4110	40	2009-11-05	Cairn India looks positive	CAIRN	buy
4111	696	2009-11-05	Buy IFCI for intraday	IFCI	buy
4112	35	2009-11-05	JPMorgan overweight on India	3MINDIA	hold
4113	603	2009-11-05	Wednesday's rally led by short coverings	473S&P500	sell
4114	955	2009-11-04	Too early to tell if mkts have seen an intermediate bottom	ALSTOMT&D	buy
4115	263	2009-11-04	Educomp to revamp biz model to improve cashflow	EDUCOMP	buy
4116	295	2009-11-04	An exclusive earnings review of FMCG companies	CNXFMCG	hold
4117	603	2009-11-09	Institutional investors' mood cautiously optimistic	RICOAUTO	hold
4118	40	2009-11-09	Titan Industries looks positive - Ajay Jain	TITAN	buy
4119	452	2009-11-07	Mahindra Satyam restarts hirings, recalls bench	MAHINDCIE	hold
4120	251	2009-11-06	Indiabulls Power, NHPC look expensive	NHPC	hold
4121	955	2009-11-06	New supplies to come in cement; prices to remain sluggish	SHREECEM	buy
4122	464	2009-11-06	Home loan rates fall despite RBI's hawkish stance	TIMBOR	sell
4123	696	2009-11-06	Buy DLF for intraday	DLF	buy
4124	40	2009-11-06	Nifty has strong resistance at 4,833	NIFTY	sell
4125	955	2009-11-06	Nifty may get back into 4800-5000 range	NIFTY	hold
4126	955	2009-11-05	Volatility to give way to big move in mkts	MOTILALOFS	hold
4127	805	2009-11-05	Buy PTC with stoploss of Rs 107	PTC	buy
4128	295	2009-11-05	Aban Offshore's $200m QIP may be delayed	ABAN	hold
4129	685	2009-11-10	Sharp rise in TDR prices leads to recovery in realty sector	DBREALTY	buy
4130	955	2009-11-10	Market to climb higher with global support	SGL	buy
4131	696	2009-11-10	Buy ITC for intraday	ITC	buy
4132	603	2009-11-10	Mkts may open gap up on back of strong global cues	SGL	buy
4133	40	2009-11-10	Banks, sugar, auto may show positive move	JMTAUTOLTD	buy
4134	955	2009-11-09	Strong start to the week for Nifty, gains led by banks	NIFTY	buy
4135	452	2009-11-09	Mah Satyam BPO turns profitable, delivers 8% growth QoQ	GROWTECHNO	hold
4136	452	2009-11-09	Citigroup looks to sell internal technology operations	PALREDTECH	sell
4137	897	2009-11-09	Tata Motors to shut down CV plant in Pune for 3 days	TATAMOTORS	sell
4138	390	2009-11-09	Mkts to trade 10-15% higher, buy BHEL, L&T;	TTL	buy
4139	955	2009-11-09	Will mkts see lesser volatility as compared to last week?	ESTCSTSTEL	hold
4140	696	2009-11-09	Buy Ranbaxy for intraday	RANBAXY	buy
4141	1011	2009-11-11	Sell Educomp Solutions	EDUCOMP	sell
4142	1011	2009-11-11	Buy Gujarat State Petronet, says VK Sharma	PETRONET	buy
4143	1011	2009-11-11	Book profits in Cummins India	CUMMINSIND	buy
4144	1011	2009-11-11	Buy GVK Power, says VK Sharma	GVKPIL	buy
4145	955	2009-11-11	Mkt may trade sideways on quiet global cues	SGL	hold
4146	696	2009-11-11	Buy DLF for intraday	DLF	buy
4147	40	2009-11-11	HPCL looks positive today	THOMASCOOK	buy
4148	466	2009-11-11	Expect Nifty to roll towards 4025-4285	NIFTY	hold
4149	603	2009-11-11	Nifty has resistance at 4,950	NIFTY	sell
4150	955	2009-11-10	Global mkts hold key for the next 2-3 sessions	3	hold
4151	886	2009-11-10	Short Hindalco Industries at Rs 133-135	HINDALCO	sell
4152	886	2009-11-10	RIL has resistance at Rs 2100-2120	RELCAPITAL	sell
4153	955	2009-11-12	See flattish market movement in early trade	FMNL	buy
4154	696	2009-11-12	Profit booking can be seen at upper level	UPERGANGES	hold
4155	915	2009-11-12	DLF to reconsider high-end row house project format	DLF	hold
4156	40	2009-11-12	Titan looks positive	TITAN	buy
4157	955	2009-11-11	Weak dollar, liquidity to continue driving mkts higher	CINELINE	sell
4158	704	2009-11-11	Tata Motors target of Rs 660	TATAMOTORS	hold
4159	704	2009-11-11	Mohindar expects Rs 26-27 a trend decider for Hind Motors	HINDMOTORS	hold
4160	704	2009-11-11	Balrampur Chini can add 15% over next 2-3 weeks	3	hold
4161	704	2009-11-11	Tata Steel has resistance at Rs 530-535	TATASTEEL	sell
4162	805	2009-11-11	Neyveli Lignite can test Rs 165	NEYVELILIG	buy
4163	805	2009-11-11	Buy HOEC	LIBERTSHOE	buy
4164	805	2009-11-11	Educomp Solutions has support at Rs 700-710	EDUCOMP	buy
4165	263	2009-11-13	Cabinet's approval for HITS policy ups WWIL by 20%	473S&P500	hold
4166	603	2009-11-13	Market selloff driven by dollar rally	FMNL	sell
4167	696	2009-11-13	Buy HCL for intraday	FULFORD	buy
4168	915	2009-11-13	DLF re-looks at its IT SEZ project in Bangalore	DLF	hold
4169	944	2009-11-13	India should rally past its 2007 highs	3MINDIA	sell
4170	955	2009-11-13	Dollar Index rebound causes flutter in global markets	SGL	hold
4171	40	2009-11-13	Titan looks weak	TITAN	sell
4172	745	2009-11-13	FIIs net buy Rs 69 cr in equities on Nov 12 (prov)	NET4	buy
4173	955	2009-11-12	Nifty sees profit booking, but still in an uptrend	NIFTY	hold
4174	582	2009-11-12	RNRL can't buy gas at cheaper price and sell at profit	TTL	buy
4175	897	2009-11-12	Analysis	CARERATING	hold
4176	603	2009-11-12	Suzlon to see buying interest after inclusion in MSCI	SUZLON	buy
4177	1011	2009-11-16	Keep Rs 497 stoploss in Patni Computer	PATNI	buy
4178	1011	2009-11-16	Reliance Industries a better bet	RELIANCE	buy
4179	955	2009-11-16	Supportive global cues to help Nifty open above 5000	NIFTY	buy
4180	40	2009-11-16	Exide Ind looks positive	EXIDEIND	buy
4181	696	2009-11-16	Buy RCF for intraday	RCF	buy
4182	867	2009-11-16	Asian mkts to gain 5-10% by year-end	5	buy
4183	295	2009-11-16	Aban Offshore QIP to close today, 13% equity dilution seen	ABAN	hold
4184	753	2009-11-14	Which sectors is Ridham Desai betting on in 2010?	VBDESAIFIN	hold
4185	915	2009-11-14	UB to achieve growth target despite floods in south	GROWTECHNO	hold
4186	955	2009-11-13	Global mkts to decide if Nifty can go to 5,200	NIFTY	hold
4187	263	2009-11-13	PVR acquires DLFs DT Cinemas in cash & stock deal	PVR	hold
4188	877	2009-11-13	Bajaj Hindustan to raise funds for power foray	HMVL	hold
4189	957	2009-11-17	Don't see over 5-7% upside from current levels	TTL	hold
4190	886	2009-11-17	Buy Sintex India in range of Rs 218-221	SINTEX	buy
4191	886	2009-11-17	IVRCL Infra has resistance at Rs 410-415	IVRCLINFRA	sell
4192	886	2009-11-17	Buy Power Grid Corporation	MATHPLATT	buy
4193	897	2009-11-17	Govt meet to mull FDI hike in aviation	WIDIA	hold
4194	955	2009-11-17	Markets poised for rally if cues remain good	GOODVALUE	buy
4195	603	2009-11-17	Tata Motors' promoters continue to sell stake in DVR issue	TATAMTRDVR	sell
4196	696	2009-11-17	DLF looks good for intraday	DLF	buy
4197	40	2009-11-17	Infosys looks weak	INFY	sell
4198	295	2009-11-17	RIL to hold AGM today; gas dispute also on agenda	TVTODAY	hold
4199	745	2009-11-17	S&P; 500 closes above 1,100 for 1st time since Oct 2008	1	hold
4200	955	2009-11-16	Strong global cues, weak $, will push high beta stks higher	SGL	buy
4201	955	2009-11-18	Mkt getting into consolidation mode	TAKE	hold
4202	603	2009-11-18	Baltic Dry Index hits new high; shipping stocks may rally	GESHIP	buy
4203	696	2009-11-18	Bharti Airtel looks good for intraday	BHARTIARTL	buy
4204	40	2009-11-18	PFC looks positive	PFC	buy
4205	973	2009-11-18	Banking, IT stocks may see some profitbooking	SETFNIFBK	hold
4206	466	2009-11-18	Nifty has resistance at 5100-5200	NIFTY	sell
4207	745	2009-11-18	FIIs net buy Rs 463 cr in equities on Nov 17 (prov)	NET4	buy
4208	452	2009-11-17	Mahindra Satyam receives legal notices from 37 cos	MAHINDCIE	buy
4209	955	2009-11-17	Sensex starts weak but manages to close on a flat note	UTISENSETF	hold
4210	898	2009-11-17	RIL won't surge post announcement at its AGM	TTL	hold
4211	603	2009-11-17	FIIs, DIIs continue to support mkt at lower levels	SUPER	buy
4212	955	2009-11-17	JP Assoc to benefit from Jaypee Infratech listing	PNCINFRA	hold
4213	211	2009-11-19	Nifty target at 5500 on breakout above 5100	NIFTY	hold
4214	898	2009-11-19	Don't see trading hrs' extension this fin year	TTL	hold
4215	955	2009-11-19	GE Shipping safer bet among shipping stocks	GESHIP	hold
4216	831	2009-11-19	Mkt to pause for 1 wk but to hit 5400 by yr-end	1	hold
4217	955	2009-11-19	Market to move sideways owing to global cues	SGL	hold
4218	696	2009-11-19	HCC looks good for intraday	HCC	buy
4219	40	2009-11-19	Indian market may show mixed trend	INDIANB	hold
4220	603	2009-11-19	Market cues	FMNL	hold
4221	955	2009-11-18	Mkts consolidating, taking stock of recent rally	DBSTOCKBRO	hold
4222	564	2009-11-18	See which stocks Mudar Patherya is bullish on	PANCARBON	buy
4223	823	2009-11-18	Buy Chambal Fertilisers on dips	CHAMBLFERT	buy
4224	823	2009-11-18	Go long on DLF, says Sandeep Singhal	DLF	buy
4225	251	2009-11-20	Buy sugar stocks on declines	VENUSUGAR	buy
4226	412	2009-11-20	Likely to see correction in Jan-Mar quarter	NEOCORP	hold
4227	955	2009-11-20	Tough for Nifty to breach 5000 in early trade	NIFTY	sell
4228	696	2009-11-20	Cover short at lower level	RNRL	sell
4229	40	2009-11-20	Cairn India, Titan look weak	TITAN	sell
4230	915	2009-11-20	DLF to convert Chennai mall plan to housing project	DLF	hold
4231	603	2009-11-20	Selling in rate sensitives may continue	HIMATSEIDE	sell
4232	955	2009-11-19	Listless session for Nifty after two days of consolidation	NIFTY	hold
4233	685	2009-11-19	Kumar Urban Development to raise Rs 450cr via IPO	JKIL	hold
4234	652	2009-11-19	Expect 25-30% returns in Mercator Lines	MERCATOR	hold
4235	831	2009-11-19	Sanjay Dutt bullish on infrastructure companies	NILAINFRA	buy
4236	211	2009-11-19	Wipro has support at Rs 530	WIPRO	buy
4237	972	2009-11-21	Experts rule out rally in short-term, advice sectors	RAMCOCEM	hold
4238	652	2009-11-21	Buy Glenmark Pharma	GLENMARK	buy
4239	652	2009-11-21	Sell HT Media on rally, says Phani Sekhar	ZEEMEDIA	sell
4240	652	2009-11-21	Hold Patni Computer	PATNI	hold
4241	652	2009-11-21	Hold Mercator Lines, says Phani Sekhar	MERCATOR	hold
4242	652	2009-11-21	Bajaj Hindusthan will underperform	BAJAJHIND	sell
4243	652	2009-11-21	Book profits in Suzlon Energy	SUZLON	buy
4244	652	2009-11-21	Book profits in Jindal Steel	JINDALSTEL	buy
4245	685	2009-11-20	Realty cos on hiring spree ahead of agressive launches	DBREALTY	hold
4246	452	2009-11-20	General Atlantic to open bids for Patni stake sale	PATNI	buy
4247	251	2009-11-20	4500 good support level for Nifty	NIFTY	buy
4248	955	2009-11-20	Cox & Kings good bet for long-term investors	COX&KINGS	buy
4249	955	2009-11-23	Positive global cues, RIL power markets	SGL	buy
4250	603	2009-11-23	Hindalco launches $600m QIP book at Rs 130.9/sh	9	hold
4251	915	2009-11-23	Property prices likely to go up in December	GODREJPROP	buy
4252	295	2009-11-23	Why LyondellBasell is a goldmine for RIL	ABB	sell
4253	652	2009-11-23	Accumulate Bharti Airtel	BHARTIARTL	buy
4254	652	2009-11-23	Avoid public sector banking stocks	SETFNIFBK	sell
4255	652	2009-11-23	Sell Bajaj Hindusthan	BAJAJHIND	sell
4256	652	2009-11-23	Stay invested in RIL	PILANIINVS	hold
4257	955	2009-11-23	Nifty continues to be in 4900-5100 range	NIFTY	hold
4258	40	2009-11-23	Vijaya bank looks positive	VIJAYABANK	buy
4259	603	2009-11-23	Mkts to be driven mainly by Reliance today	RELIANCE	buy
4260	696	2009-11-23	India Cements looks good	INDIACEM	buy
4261	645	2009-11-24	Strong interest in India from int'l investors	3MINDIA	buy
4262	814	2009-11-24	Kotak Institutional caution on real estate space	KOTAKPSUBK	buy
4263	814	2009-11-24	Kotak Institutional overweight on banking space	SETFNIFBK	hold
4264	814	2009-11-24	Kotak Institutional caution on telecom sector	TNTELE	hold
4265	814	2009-11-24	Will ITC dream run continue beyond FY10?	ITC	hold
4266	696	2009-11-24	HCC looks good for intraday	HCC	buy
4267	603	2009-11-24	Momentum in midcap PSU banks expected to continue	772CNXMIDCAP	sell
4268	955	2009-11-24	Nifty close to intermediate high	NIFTY	buy
4269	753	2009-11-24	Stock picking will become important in 2010	DBSTOCKBRO	buy
4270	944	2009-11-24	Buy on any dip in Asia	UNIONBANK	buy
4271	40	2009-11-24	BHEL looks positive	BHEL	buy
4272	745	2009-11-24	FIIs net sell Rs 132 cr in equities on Nov 23 (prov)	NET4	sell
4273	297	2009-11-25	Buy banking, oil & gas stocks	OIL	buy
4274	897	2009-11-25	TVS Motor targets Honda's mkt share; to launch products	TVSMOTOR	hold
4275	297	2009-11-25	Nifty to test 5500 post 5-7% correction	NIFTY	buy
4276	955	2009-11-25	RIL ex-bonus, F&O; expiry eyed	HINDOILEXP	hold
4277	955	2009-11-25	Astec Lifesciences fair value at Rs 65-66	ASTEC	buy
4278	730	2009-11-25	Mkts to remain strong; bet on midcaps	ASOCSTONE	buy
4279	696	2009-11-25	Market may remain choppy	FMNL	sell
4280	40	2009-11-25	Tata tea looks positive	TATACOMM	buy
4281	915	2009-11-24	Aviation biz to contribute 5% to rev in 3-5 years	5	hold
4282	582	2009-11-24	Unitech gears up for third fund raising exercise	UNITECH	hold
4283	897	2009-11-24	Why Mahindra Forgings is up 70% in 4 trading sessions	4	hold
4284	251	2009-11-24	Avoid NIIT	NIITLTD	sell
4285	40	2009-11-27	Steel sector looks weak	JSWSTEEL	sell
4286	196	2009-11-27	Lot of nervousness about Chinese tightening measures	PRESTIGE	hold
4287	603	2009-11-27	Nifty may range between 5000-5200 in Dec	NIFTY	hold
4288	886	2009-11-26	UltraTech Cement has target of Rs 870-880	ULTRACEMCO	hold
4289	886	2009-11-26	Expects further unwinding in Tata Steel	TATASTEEL	hold
4290	603	2009-11-26	Dealers expect 5-7% upside post expiry	5	hold
4291	696	2009-11-26	Market may remain rangebound	FMNL	hold
4292	955	2009-11-26	Mkt may end series at current level	EMKAYTOOLS	hold
4293	40	2009-11-26	Titan Industries looks positive	TITAN	buy
4294	867	2009-11-26	Global mkts may breach intermediate highs	SGL	hold
4295	955	2009-11-25	Rangebound session for Nifty ahead of Nov series expiry	NIFTY	hold
4296	263	2009-11-25	ToI at No1 spot in English daily, says readership survey	VASCONEQ	hold
4297	40	2009-11-30	Oriental Bank looks positive	ORIENTBANK	buy
4298	35	2009-11-30	Bond investors were aware of risk in Dubai	ORIENTABRA	buy
4299	955	2009-11-30	Don't see impact of Dubai, but correction may happen	TTL	hold
4300	105	2009-11-30	Anu Jain's top five picks for today's trade	TVTODAY	buy
4301	685	2009-11-27	Will Dubai's debt crisis derail Indian property recovery?	INDIANB	hold
4302	897	2009-11-27	Dubai debt crisis may have impact on SpiceJet	MODILUFT	hold
4303	955	2009-11-27	Indian mkts rattled by Dubai default impact	INDIANB	hold
4304	973	2009-11-27	Buy Ranbaxy on dips	RANBAXY	buy
4305	973	2009-11-27	Not much upside in Tata Steel	TATASTEEL	sell
4306	973	2009-11-27	Vibhav Kapoor sees Nifty in 4700-5200 range in 4 months	NIFTY	hold
4307	603	2009-11-27	Dubai's debt mkt concerns to dent sentiments in Asia	473S&P500	hold
4308	696	2009-11-27	Weak session ahead, sell DLF for intraday	DLF	sell
4309	955	2009-11-30	Nifty gets a shot in the arm, bulls back in charge again	NIFTY	hold
4310	105	2009-11-30	Mercator Lines may touch Rs 62	MERCATOR	buy
4311	105	2009-11-30	Keep Rs 88 stoploss in Mahindra Satyam	MAHINDCIE	buy
4312	105	2009-11-30	Ranbaxy has target of Rs 464	RANBAXY	hold
4313	105	2009-11-30	BPCL can test Rs 600	BPCL	buy
4314	105	2009-11-30	Punjab Chemicals has target of Rs 177	PUNJABCHEM	hold
4315	603	2009-11-30	All eyes on GDP data today	TVTODAY	hold
4316	105	2009-11-30	Zydus Wellness can test Rs 235	ZYDUSWELL	buy
4317	105	2009-11-30	Buy KPIT Cummins on dips	KPIT	buy
4318	105	2009-11-30	Canara Bank has target of Rs 404	CANBK	hold
4319	105	2009-11-30	Bajaj Auto has target of Rs 1665	BAJAJ-AUTO	hold
4320	696	2009-11-30	Buy DLF for intraday	DLF	buy
4321	745	2009-12-02	FIIs net buy Rs 579 cr in equities on Dec 1 (prov)	1	buy
4322	955	2009-12-01	Rally continues, Nifty set for more gains	NIFTY	buy
4323	704	2009-12-01	Avoid real estate space	RELIANCE	sell
